programmes,desc,target,link,org
TOUCH Child Care (Clementi),TOUCH Child Care (TCC)  aim to provide a safe and secure environment for children to learn and develop life skills. TOUCH strongly believe that parents and educators play a big part in shaping the lives of the next generation.,"TCC’s centres adopt the THRASS (Teaching Handwriting, Reading and Spelling Scheme) approach, which seeks to increase children's literacy skills by focusing on phonics and spelling. [TOUCH Community Services Limited]",https://www.touch.org.sg/,TOUCH Child Care
TOUCH Child Care (Hougang),TOUCH Child Care (TCC)  aim to provide a safe and secure environment for children to learn and develop life skills. TOUCH strongly believe that parents and educators play a big part in shaping the lives of the next generation.,"TCC’s centres adopt the THRASS (Teaching Handwriting, Reading and Spelling Scheme) approach, which seeks to increase children's literacy skills by focusing on phonics and spelling. [TOUCH Community Services Limited]",https://www.touch.org.sg/,Touch Child Care & Family Centre (Hougang)
TOUCH Cluster Support (Kallang),"TOUCH Cluster Support (TCLS) aims to enable vulnerable elderly, who have little or no family support, to age-in-place in the neighbourhoods of Kallang/Novena and Yishun/Sembawang regions. The TOUCH Cluster Support team, which comprises community social workers, will make home visits to assess the well-being of frail and vulnerable seniors, particularly those with limited family support referred by community partners or through outreach in the neighbourhoods. [TOUCH Community Services Limited]","Frail and vulnerable seniors, particularly those with limited family support",https://www.touch.org.sg/,321104
TOUCH Cluster Support (Yishun),"TOUCH Cluster Support (TCLS) aims to enable vulnerable elderly, who have little or no family support, to age-in-place in the neighbourhoods of Kallang/Novena and Yishun/Sembawang regions. The TOUCH Cluster Support team, which comprises community social workers, will make home visits to assess the well-being of frail and vulnerable seniors, particularly those with limited family support referred by community partners or through outreach in the neighbourhoods. [TOUCH Community Services Limited]","Frail and vulnerable seniors, particularly those with limited family support",https://www.touch.org.sg/,760108
TOUCH Cyber Wellness,"TOUCH Cyber Wellness (TCW), through cutting-edge and relevant strategies, advocates respect, a balanced lifestyle and responsible use of digital technologies to help families grow together in the digital age. TCW is a service of TOUCH Youth, a division of TOUCH Community Services. The programmes are supported by three pillars, namely Education, Centre and Counselling, built upon a solid foundation of Research and Development [TOUCH Community Services Limited]","Youths who engage in internet use, and their parents",https://www.touch.org.sg/,Touch Cyber Wellness
TOUCH Diabetes Support,"TOUCH Diabetes Support offers care & support for people living with diabetes in the community. TOUCH work closely with their families, healthcare professionals and many other volunteers who have a heart for this community.[TOUCH Community Services Limited]",Persons with diabetes,https://www.touch.org.sg/,TOUCH Diabetes Support
TOUCH Family Enablement,"At TOUCH Family Enablement, they value every person and family and are committed to empower vulnerable families to be transformed and enabled through holistic services. TOUCH provide mentorship & intervention to the help the vulnerable families. [TOUCH Community Services Limited]",Vulnerable families,https://www.touch.org.sg/,TOUCH Family Services
TOUCH Family Life,"As part of TOUCH Family Life (TFL)'s mission to see families strengthened, they conduct regular family life education talks, workshops and courses. These aim to enrich and equip individuals in the area of interpersonal relationships, parenting skills, as well as marriage preparation and enrichment. Through their commitment as a Family Life Ambassador, TOUCH Community Services also offers ongoing Family Life programmes for educational institutions, corporations as well as grassroots/interest groups. [TOUCH Community Services Limited]",Individuals and families in distress or in need,https://www.touch.org.sg/,TOUCH Family Services
TOUCH Home Care (Ang Mo Kio),"At TOUCH Home Care (THC), the goal is to help the frail elderly enjoy greater independence and better quality of life at home. THC also work closely with TOUCH Caregivers Support (TCG) to support caregivers of the frail elderly.  The customised services include home medical, meal delivery, housekeeping, personal hygiene services, and transport services to hospitals for appointments. [TOUCH Community Services Limited]",Frail and homebound seniors and their caregivers.,https://www.touch.org.sg/,TOUCH Home Care (Ang Mo Kio)
TOUCH Home Care (Jurong),"At TOUCH Home Care (THC), the goal is to help the frail elderly enjoy greater independence and better quality of life at home. THC also work closely with TOUCH Caregivers Support (TCG) to support caregivers of the frail elderly.  The customised services include home medical, meal delivery, housekeeping, personal hygiene services, and transport services to hospitals for appointments. [TOUCH Community Services Limited]",Frail and homebound seniors and their caregivers.,https://www.touch.org.sg/,Touch Home Care - Jurong
TOUCH Home Care (Toa Payoh),"At TOUCH Home Care (THC), the goal is to help the frail elderly enjoy greater independence and better quality of life at home. THC also work closely with TOUCH Caregivers Support (TCG) to support caregivers of the frail elderly.  The customised services include home medical, meal delivery, housekeeping, personal hygiene services, and transport services to hospitals for appointments. [TOUCH Community Services Limited]",Frail and homebound seniors and their caregivers.,https://www.touch.org.sg/,TOUCH Home Care (Toa Payoh)
TOUCH Leadership & Mentoring,TOUCH Leadership & Mentoring (TL&M) aims to inculcate values and skills through service-learning and facilitation to develop youths to become active contributors and leaders in the community. [TOUCH Community Services Limited],Youths,https://www.touch.org.sg/,397693
TOUCH Senior Activity Centre (Geylang Bahru),"TOUCH Senior Activity Centre (TSAC) provides eldercare support and services for seniors. They reach out to lonely, socially isolated and vulnerable elderly living in the HDB rental units, to provide care and support for those with little or no family support. [TOUCH Community Services Limited]","Lonely, socially isolated and vulnerable elderly living in the HDB rental units in Geylang Bahru / Kallang Bahru and Yishun neighbourhoods",https://www.touch.org.sg/,TOUCH Senior Activity Centre
